// 现代汉语语料库词语频率表,,,,
// 语料规模:2000万字,,,,
// 只列入出现次数大于50次的词,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,
// id,词语,出现次数,频率（%）,累积频率（%）
731,百,1736,0.0182,56.7753
732,咱们,1728,0.0181,56.8116
733,远,1727,0.0181,56.8297
734,几乎,1726,0.0181,56.8478
735,地球,1724,0.018,56.8658
736,以前,1724,0.018,56.8838
737,体,1724,0.018,56.9018
738,座,1724,0.018,56.9198
739,明显,1714,0.0179,56.9377
740,左右,1712,0.0179,56.9556
741,亦,1711,0.0179,56.9735
742,细胞,1709,0.0179,57.0093
743,谈,1709,0.0179,56.9914
744,思维,1708,0.0179,57.0272
745,一部分,1700,0.0178,57.045
746,互相,1698,0.0178,57.0628
747,仍然,1698,0.0178,57.0806
748,如此,1693,0.0177,57.0983
749,儿童,1690,0.0177,57.116
750,各个,1686,0.0176,57.1336
751,高兴,1686,0.0176,57.1512
752,这次,1685,0.0176,57.1688
753,生长,1685,0.0176,57.1864
