// 现代汉语语料库词语分词类频率表,,,,,,
// 语料规模:2000万字,,,,,,
// 只列入出现次数大于50次的词,,,,,,
// 下载自www.cncorpus.org语料库在线网站,,,,,,
// id,词语,词类标记,词类名称,出现次数,频率,累积频率
44,等,u,助词,17336,0.1814,25.658300000000004
45,发展,v,动词,17307,0.1811,25.839400000000005
46,那,r,代词,17183,0.1798,26.019200000000005
47,很,d,副词,16774,0.1755,26.194700000000005
48,可以,vu,能愿动词,16724,0.175,26.369700000000005
49,使,v,动词,16470,0.1723,26.542000000000005
50,以,p,介词,16316,0.1707,26.712700000000005
51,所,u,助词,16191,0.1694,26.882100000000005
52,但,c,连词,15959,0.167,27.049100000000006
53,得,u,助词,14915,0.1561,27.205200000000005
54,去,v,动词,14914,0.1561,27.361300000000004
55,自己,r,代词,14793,0.1548,27.516100000000005
56,没有,v,动词,14544,0.1522,27.668300000000006
57,为,vl,联系动词,14499,0.1517,27.820000000000007
58,为,p,介词,14240,0.149,27.96900000000001
59,能,vu,能愿动词,13781,0.1442,28.11320000000001
60,看,v,动词,13755,0.1439,28.25710000000001
61,什么,r,代词,13585,0.1422,28.399300000000007
62,或,c,连词,13574,0.142,28.541300000000007
63,被,p,介词,13476,0.141,28.682300000000005
64,之,u,助词,13299,0.1392,28.821500000000004
65,三,m,数词,13208,0.1382,28.959700000000005
66,这个,r,代词,13201,0.1381,29.097800000000007
67,小,a,形容词,12687,0.1328,29.230600000000006
68,多,a,形容词,12028,0.1259,29.356500000000008
69,后,nd,方位名词,12026,0.1258,29.48230000000001
70,这样,r,代词,11980,0.1254,29.60770000000001
71,会,vu,能愿动词,11782,0.1233,29.73100000000001
72,好,a,形容词,11743,0.1229,29.85390000000001
73,社会,n,名词,11461,0.1199,29.97380000000001
74,由,p,介词,11367,0.1189,30.09270000000001
75,向,p,介词,11351,0.1188,30.21150000000001
76,进行,v,动词,11085,0.116,30.32750000000001
77,问题,n,名词,10899,0.1141,30.44160000000001
78,下,nd,方位名词,10737,0.1124,30.554000000000013
79,呢,u,助词,10391,0.1087,30.66270000000001
80,如,v,动词,10312,0.1079,30.770600000000012
81,其,r,代词,10199,0.1067,30.877300000000012
82,于,p,介词,10159,0.1063,30.983600000000013
83,国家,n,名词,10138,0.1061,31.089700000000015
84,这些,r,代词,9967,0.1043,31.194000000000013
85,工作,n,名词,9655,0.101,31.295000000000012
86,起来,vd,趋向动词,9588,0.1003,31.395300000000013
87,生产,v,动词,9419,0.0986,31.493900000000014
88,可,vu,能愿动词,9361,0.098,31.591900000000013
89,并,c,连词,9259,0.0969,31.688800000000015
90,就是,d,副词,9195,0.0962,31.785000000000014
91,新,a,形容词,9157,0.0958,31.880800000000015
92,用,v,动词,9062,0.0948,31.975600000000014
93,想,v,动词,9028,0.0945,32.07010000000001
94,给,p,介词,8985,0.094,32.16410000000001
95,不能,vu,能愿动词,8834,0.0924,32.25650000000001
96,因为,c,连词,8817,0.0923,32.34880000000001
97,生活,n,名词,8694,0.091,32.43980000000001
98,经济,n,名词,8680,0.0908,32.530600000000014
99,研究,v,动词,8627,0.0903,32.62090000000001
100,更,d,副词,8602,0.09,32.71090000000002
101,已,d,副词,8600,0.09,32.80090000000002
102,几,m,数词,8593,0.0899,32.89080000000002
103,用,p,介词,8389,0.0878,32.97860000000002
104,却,d,副词,8253,0.0864,33.06500000000002
105,再,d,副词,8199,0.0858,33.15080000000002
106,最,d,副词,7957,0.0833,33.23410000000002
107,主要,a,形容词,7879,0.0824,33.31650000000002
108,由于,c,连词,7840,0.082,33.39850000000002
109,不同,a,形容词,7822,0.0819,33.48040000000002
110,不是,vl,联系动词,7765,0.0813,33.561700000000016
111,中国,ns,地名,7721,0.0808,33.64250000000002
112,关系,n,名词,7715,0.0807,33.72320000000002
113,人们,n,名词,7702,0.0806,33.80380000000002
114,但是,c,连词,7673,0.0803,33.88410000000002
115,才,d,副词,7634,0.0799,33.96400000000002
116,作用,n,名词,7548,0.079,34.04300000000002
117,则,c,连词,7536,0.0789,34.12190000000002
118,现在,nt,时间名词,7527,0.0788,34.20070000000002
119,所以,c,连词,7512,0.0786,34.27930000000002
120,因此,c,连词,7394,0.0774,34.35670000000002
121,如果,c,连词,7369,0.0771,34.43380000000002
122,已经,d,副词,7358,0.077,34.51080000000002
123,们,k,后接成分,7283,0.0762,34.58700000000002
124,重要,a,形容词,7135,0.0747,34.66170000000002
125,各,r,代词,7117,0.0745,34.73620000000002
126,我国,n,名词,6948,0.0727,34.808900000000015
127,一些,m,数词,6930,0.0725,34.88140000000001
128,情况,n,名词,6922,0.0724,34.953800000000015
129,吧,u,助词,6874,0.0719,35.025700000000015
130,二,m,数词,6835,0.0715,35.097200000000015
131,知道,v,动词,6773,0.0709,35.16810000000002
132,出,vd,趋向动词,6742,0.0706,35.238700000000016
133,社会主义,n,名词,6711,0.0702,35.308900000000015
134,做,v,动词,6708,0.0702,35.379100000000015
135,必须,d,副词,6701,0.0701,35.44920000000001
136,人民,n,名词,6669,0.0698,35.51900000000001
137,次,q,量词,6612,0.0692,35.588200000000015
138,四,m,数词,6600,0.0691,35.65730000000001
139,成,v,动词,6592,0.069,35.726300000000016
140,走,v,动词,6589,0.069,35.79530000000002
141,月,nt,时间名词,6530,0.0683,35.86360000000002
142,方面,n,名词,6518,0.0682,35.93180000000002
143,需要,v,动词,6511,0.0681,35.99990000000002
144,吗,u,助词,6503,0.0681,36.06800000000002
145,时候,n,名词,6500,0.068,36.13600000000002
146,条件,n,名词,6426,0.0672,36.20320000000002
147,思想,n,名词,6358,0.0665,36.269700000000014
148,便,d,副词,6351,0.0665,36.33620000000001
149,出来,vd,趋向动词,6335,0.0663,36.40250000000001
150,发生,v,动词,6315,0.0661,36.46860000000001
151,水,n,名词,6283,0.0657,36.53430000000001
152,为了,p,介词,6279,0.0657,36.60000000000001
153,过程,n,名词,6231,0.0652,36.665200000000006
154,只,d,副词,6142,0.0643,36.72950000000001
155,而且,c,连词,6116,0.064,36.79350000000001
156,当,p,介词,6108,0.0639,36.857400000000005
157,科学,n,名词,6101,0.0638,36.921200000000006
158,方法,n,名词,6098,0.0638,36.98500000000001
159,叫,v,动词,6041,0.0632,37.04820000000001
160,内,nd,方位名词,6002,0.0628,37.11100000000001
161,技术,n,名词,5978,0.0626,37.173600000000015
162,一般,a,形容词,5928,0.062,37.23560000000001
163,许多,a,形容词,5904,0.0618,37.29740000000001
164,吃,v,动词,5893,0.0617,37.35910000000001
165,具有,v,动词,5870,0.0614,37.42050000000001
166,高,a,形容词,5864,0.0614,37.48190000000001
167,形成,v,动词,5850,0.0612,37.54310000000001
168,对于,p,介词,5845,0.0612,37.60430000000001
169,影响,v,动词,5786,0.0605,37.66480000000001
170,时间,n,名词,5736,0.06,37.72480000000001
171,事,n,名词,5731,0.06,37.78480000000001
172,以后,nt,时间名词,5725,0.0599,37.84470000000001
173,认为,v,动词,5720,0.0599,37.90460000000001
174,也是,vl,联系动词,5715,0.0598,37.96440000000001
175,世界,n,名词,5697,0.0596,38.024000000000015
176,过,u,助词,5654,0.0592,38.08320000000001
177,它们,r,代词,5634,0.059,38.14220000000001
178,通过,p,介词,5596,0.0586,38.20080000000001
179,产生,v,动词,5563,0.0582,38.25900000000001
180,较,d,副词,5557,0.0582,38.31720000000001
181,出现,v,动词,5543,0.058,38.37520000000001
182,企业,n,名词,5489,0.0574,38.43260000000001
183,各种,r,代词,5414,0.0567,38.48930000000001
184,作,v,动词,5387,0.0564,38.545700000000004
185,物质,n,名词,5359,0.0561,38.601800000000004
186,同志,n,名词,5334,0.0558,38.6576
187,者,k,后接成分,5323,0.0557,38.713300000000004
188,比,p,介词,5314,0.0556,38.7689
189,话,n,名词,5293,0.0554,38.8243
190,艺术,n,名词,5266,0.0551,38.879400000000004
191,一样,a,形容词,5265,0.0551,38.93450000000001
192,前,nd,方位名词,5252,0.055,38.98950000000001
193,起,v,动词,5244,0.0549,39.04440000000001
194,工业,n,名词,5190,0.0543,39.09870000000001
195,一切,r,代词,5156,0.054,39.15270000000001
196,开始,v,动词,5137,0.0538,39.20650000000001
197,呀,u,助词,5124,0.0536,39.260100000000016
198,见,v,动词,5118,0.0536,39.31370000000002
199,可能,vu,能愿动词,5116,0.0535,39.36720000000002
200,之间,nd,方位名词,5115,0.0535,39.42070000000002
201,这里,r,代词,5099,0.0534,39.47410000000002
202,还有,v,动词,5091,0.0533,39.52740000000002
203,地方,n,名词,5081,0.0532,39.58060000000002
204,你们,r,代词,5072,0.0531,39.63370000000002
205,形式,n,名词,5053,0.0529,39.68660000000002
206,运动,n,名词,5052,0.0529,39.73950000000002
207,政治,n,名词,5015,0.0525,39.79200000000002
208,听,v,动词,5009,0.0524,39.84440000000002
209,日,nt,时间名词,4990,0.0522,39.89660000000002
210,五,m,数词,4931,0.0516,39.94820000000002
211,以及,c,连词,4884,0.0511,39.99930000000002
212,存在,v,动词,4881,0.0511,40.05040000000002
213,提高,v,动词,4868,0.0509,40.101300000000016
214,劳动,v,动词,4863,0.0509,40.152200000000015
215,问,v,动词,4801,0.0502,40.20240000000001
216,将,d,副词,4791,0.0501,40.25250000000001
217,结构,n,名词,4790,0.0501,40.30260000000001
218,成为,v,动词,4790,0.0501,40.35270000000001
219,语言,n,名词,4783,0.0501,40.40280000000001
220,发现,v,动词,4777,0.05,40.45280000000001
221,天,nt,时间名词,4748,0.0497,40.50250000000001
222,每,r,代词,4744,0.0496,40.55210000000001
223,理论,n,名词,4734,0.0495,40.60160000000001
224,性,k,后接成分,4692,0.0491,40.650700000000015
225,外,nd,方位名词,4685,0.049,40.699700000000014
226,打,v,动词,4680,0.049,40.748700000000014
227,谁,r,代词,4635,0.0485,40.79720000000001
228,没有,d,副词,4620,0.0483,40.84550000000001
229,历史,n,名词,4616,0.0483,40.893800000000006
230,学习,v,动词,4613,0.0483,40.9421
231,地区,n,名词,4592,0.0481,40.9902
232,第一,m,数词,4590,0.048,41.0382
233,根据,p,介词,4588,0.048,41.086200000000005
234,让,p,介词,4578,0.0479,41.134100000000004
235,教育,v,动词,4569,0.0478,41.181900000000006
236,没,d,副词,4525,0.0474,41.22930000000001
237,活动,v,动词,4510,0.0472,41.276500000000006
238,作为,v,动词,4508,0.0472,41.3237
239,家,n,名词,4486,0.0469,41.3706
240,现象,n,名词,4486,0.0469,41.417500000000004
241,将,p,介词,4479,0.0469,41.464400000000005
242,即,d,副词,4475,0.0468,41.5112
243,要求,v,动词,4471,0.0468,41.558
244,东西,n,名词,4464,0.0467,41.6047
245,孩子,n,名词,4459,0.0467,41.6514
246,变化,v,动词,4457,0.0466,41.698
247,真,d,副词,4435,0.0464,41.7444
248,多,m,数词,4429,0.0463,41.7907
249,例如,v,动词,4427,0.0463,41.837
250,及,c,连词,4408,0.0461,41.883100000000006
251,怎么,r,代词,4403,0.0461,41.92920000000001
252,得到,v,动词,4350,0.0455,41.974700000000006
253,表现,v,动词,4338,0.0454,42.020100000000006
254,其他,r,代词,4336,0.0454,42.06550000000001
255,受,v,动词,4320,0.0452,42.11070000000001
256,儿,k,后接成分,4309,0.0451,42.155800000000006
257,和,p,介词,4292,0.0449,42.200700000000005
258,第二,m,数词,4292,0.0449,42.2456
259,有的,r,代词,4276,0.0447,42.2903
260,提出,v,动词,4264,0.0446,42.334900000000005
261,图,n,名词,4253,0.0445,42.379400000000004
262,决定,v,动词,4238,0.0443,42.423700000000004
263,学生,n,名词,4229,0.0443,42.468
264,产品,n,名词,4174,0.0437,42.511700000000005
265,建立,v,动词,4167,0.0436,42.5553
266,认识,v,动词,4151,0.0434,42.5987
267,一定,d,副词,4137,0.0433,42.642
268,还是,d,副词,4104,0.0429,42.684900000000006
269,无,v,动词,4101,0.0429,42.72780000000001
270,去,vd,趋向动词,4088,0.0428,42.77060000000001
271,就是,vl,联系动词,4086,0.0428,42.81340000000001
272,市场,n,名词,4082,0.0427,42.85610000000001
273,虽然,c,连词,4059,0.0425,42.89860000000001
274,精神,n,名词,4058,0.0425,42.941100000000006
275,应,vu,能愿动词,4034,0.0422,42.98330000000001
276,群众,n,名词,4029,0.0422,43.02550000000001
277,意义,n,名词,4010,0.042,43.06750000000001
278,民族,n,名词,4006,0.0419,43.10940000000001
279,计划,n,名词,4001,0.0419,43.151300000000006
280,增加,v,动词,3988,0.0417,43.193000000000005
281,应该,vu,能愿动词,3984,0.0417,43.234700000000004
282,象,p,介词,3980,0.0416,43.276300000000006
283,啦,u,助词,3973,0.0416,43.31790000000001
284,同,p,介词,3966,0.0415,43.35940000000001
285,笑,v,动词,3963,0.0415,43.40090000000001
286,手,n,名词,3943,0.0413,43.44220000000001
287,文化,n,名词,3908,0.0409,43.48310000000001
288,条,q,量词,3906,0.0409,43.52400000000001
289,那么,r,代词,3901,0.0408,43.564800000000005
290,利用,v,动词,3890,0.0407,43.605500000000006
291,指,v,动词,3865,0.0404,43.645900000000005
292,头,n,名词,3853,0.0403,43.68620000000001
293,只有,c,连词,3849,0.0403,43.72650000000001
294,十,m,数词,3842,0.0402,43.76670000000001
295,特别,d,副词,3837,0.0402,43.806900000000006
296,大家,n,名词,3820,0.04,43.846900000000005
297,解决,v,动词,3788,0.0396,43.886500000000005
298,管理,v,动词,3787,0.0396,43.926100000000005
299,水平,n,名词,3782,0.0396,43.965700000000005
300,商品,n,名词,3776,0.0395,44.0052
301,内容,n,名词,3751,0.0393,44.0445
302,能够,vu,能愿动词,3749,0.0392,44.0837
303,写,v,动词,3738,0.0391,44.1228
304,点,n,名词,3728,0.039,44.1618
305,位,q,量词,3727,0.039,44.2008
306,革命,v,动词,3705,0.0388,44.2396
307,结果,n,名词,3698,0.0387,44.2783
308,声,n,名词,3693,0.0386,44.316900000000004
309,知识,n,名词,3677,0.0385,44.3554
310,分析,v,动词,3675,0.0385,44.3939
311,农业,n,名词,3641,0.0381,44.432
312,能力,n,名词,3636,0.038,44.47
313,同时,c,连词,3615,0.0378,44.507799999999996
314,使用,v,动词,3600,0.0377,44.5455
315,注意,v,动词,3598,0.0377,44.5832
316,类,n,名词,3593,0.0376,44.620799999999996
317,一点,mq,数量,3556,0.0372,44.657999999999994
318,讲,v,动词,3534,0.037,44.69499999999999
319,组织,n,名词,3527,0.0369,44.731899999999996
320,美国,ns,地名,3520,0.0368,44.768699999999995
321,先,d,副词,3513,0.0368,44.805499999999995
322,今天,nt,时间名词,3509,0.0367,44.8422
323,实现,v,动词,3496,0.0366,44.8788
324,当时,nt,时间名词,3495,0.0366,44.9154
325,长,a,形容词,3495,0.0366,44.952
326,基本,a,形容词,3478,0.0364,44.9884
327,全国,n,名词,3477,0.0364,45.0248
328,建设,v,动词,3470,0.0363,45.061099999999996
329,直接,a,形容词,3463,0.0362,45.0973
330,反映,v,动词,3443,0.036,45.1333
331,单位,n,名词,3440,0.036,45.1693
332,带,v,动词,3436,0.036,45.2053
333,基础,n,名词,3430,0.0359,45.2412
334,创造,v,动词,3424,0.0358,45.277
335,此,r,代词,3415,0.0357,45.3127
336,找,v,动词,3402,0.0356,45.3483
337,曾,d,副词,3390,0.0355,45.3838
338,只,q,量词,3360,0.0352,45.419000000000004
339,正,d,副词,3357,0.0351,45.454100000000004
340,可是,c,连词,3355,0.0351,45.489200000000004
341,说明,v,动词,3344,0.035,45.5242
342,因,c,连词,3337,0.0349,45.594
343,特点,n,名词,3337,0.0349,45.5591
344,部分,n,名词,3328,0.0348,45.6288
345,引起,v,动词,3308,0.0346,45.663399999999996
346,具体,a,形容词,3301,0.0345,45.6979
347,比较,d,副词,3296,0.0345,45.7324
348,放,v,动词,3290,0.0344,45.766799999999996
349,结合,v,动词,3274,0.0343,45.8011
350,包括,v,动词,3265,0.0342,45.8353
351,农民,n,名词,3264,0.0342,45.869499999999995
352,参加,v,动词,3259,0.0341,45.9036
353,十分,d,副词,3258,0.0341,45.9377
354,作品,n,名词,3258,0.0341,45.9718
355,既,c,连词,3250,0.034,46.0058
356,正确,a,形容词,3244,0.0339,46.0397
357,表示,v,动词,3236,0.0339,46.073600000000006
358,相,d,副词,3236,0.0339,46.10750000000001
359,工人,n,名词,3223,0.0337,46.14120000000001
360,心理,n,名词,3223,0.0337,46.174900000000015
361,老,a,形容词,3207,0.0336,46.208500000000015
362,太,d,副词,3204,0.0335,46.27550000000001
363,任务,n,名词,3204,0.0335,46.309000000000005
364,为什么,r,代词,3204,0.0335,46.24200000000001
365,规律,n,名词,3203,0.0335,46.3425
366,觉得,v,动词,3192,0.0334,46.3759
367,于是,c,连词,3187,0.0334,46.4093
368,全,a,形容词,3186,0.0333,46.4426
369,一定,a,形容词,3184,0.0333,46.475899999999996
370,不断,d,副词,3182,0.0333,46.50919999999999
371,环境,n,名词,3181,0.0333,46.54249999999999
372,经验,n,名词,3173,0.0332,46.57569999999999
373,另,r,代词,3149,0.033,46.60869999999999
374,青年,n,名词,3148,0.0329,46.64159999999999
375,行为,n,名词,3145,0.0329,46.67449999999999
376,规定,v,动词,3140,0.0329,46.707399999999986
377,那些,r,代词,3139,0.0328,46.74019999999999
378,当然,d,副词,3137,0.0328,46.77299999999999
379,制度,n,名词,3131,0.0328,46.80579999999999
380,干部,n,名词,3125,0.0327,46.83849999999999
381,政府,n,名词,3121,0.0327,46.87119999999999
382,象,v,动词,3120,0.0326,46.90379999999999
383,任何,r,代词,3113,0.0326,46.93639999999999
384,变,v,动词,3108,0.0325,46.96889999999999
385,性质,n,名词,3108,0.0325,47.00139999999999
386,地,n,名词,3105,0.0325,47.03389999999999
387,一,d,副词,3104,0.0325,47.06639999999999
388,不仅,c,连词,3099,0.0324,47.09879999999999
389,其中,nd,方位名词,3087,0.0323,47.13109999999999
390,您,r,代词,3065,0.0321,47.16319999999999
391,关于,p,介词,3062,0.032,47.195199999999986
392,跟,p,介词,3056,0.032,47.22719999999998
393,开,v,动词,3054,0.032,47.25919999999998
394,心,n,名词,3047,0.0319,47.29109999999998
395,眼睛,n,名词,3036,0.0318,47.322899999999976
396,法律,n,名词,3034,0.0317,47.35459999999998
397,至,v,动词,3032,0.0317,47.38629999999998
398,六,m,数词,3032,0.0317,47.41799999999998
399,目的,n,名词,3029,0.0317,47.44969999999998
400,先生,n,名词,3022,0.0316,47.481299999999976
401,越,d,副词,3018,0.0316,47.51289999999997
402,矛盾,n,名词,3015,0.0316,47.54449999999997
403,坐,v,动词,3010,0.0315,47.57599999999997
404,资本主义,n,名词,2987,0.0313,47.607299999999974
405,力量,n,名词,2955,0.0309,47.638199999999976
406,因素,n,名词,2950,0.0309,47.66909999999998
407,受到,v,动词,2949,0.0309,47.69999999999998
408,领导,n,名词,2949,0.0309,47.730899999999984
409,按,p,介词,2940,0.0308,47.76169999999998
410,整个,a,形容词,2935,0.0307,47.79239999999999
411,实行,v,动词,2927,0.0306,47.822999999999986
412,学校,n,名词,2927,0.0306,47.853599999999986
413,岁,nt,时间名词,2925,0.0306,47.884199999999986
414,日本,ns,地名,2923,0.0306,47.914799999999985
415,少,a,形容词,2921,0.0306,47.945399999999985
416,只是,d,副词,2912,0.0305,47.97589999999999
417,法,n,名词,2907,0.0304,48.00629999999999
418,怎样,r,代词,2896,0.0303,48.036599999999986
419,可,d,副词,2894,0.0303,48.06689999999998
420,原则,n,名词,2889,0.0302,48.09709999999998
421,快,a,形容词,2877,0.0301,48.12719999999998
422,极,d,副词,2869,0.03,48.15719999999998
423,阶段,n,名词,2866,0.03,48.18719999999998
424,之后,nt,时间名词,2863,0.03,48.217199999999984
425,有些,m,数词,2857,0.0299,48.24709999999998
426,钱,n,名词,2852,0.0298,48.27689999999998
427,在,d,副词,2847,0.0298,48.306699999999985
428,到了,v,动词,2844,0.0298,48.33649999999999
429,事物,n,名词,2840,0.0297,48.366199999999985
430,系统,n,名词,2835,0.0297,48.39589999999998
431,才能,c,连词,2832,0.0296,48.425499999999985
432,请,v,动词,2823,0.0295,48.454999999999984
433,办法,n,名词,2818,0.0295,48.48449999999998
434,斗争,n,名词,2799,0.0293,48.51379999999998
435,人物,n,名词,2797,0.0293,48.54309999999998
436,质量,n,名词,2794,0.0292,48.572299999999984
437,占,v,动词,2782,0.0291,48.601399999999984
438,经过,p,介词,2772,0.029,48.63039999999999
439,连,p,介词,2771,0.029,48.65939999999999
440,政策,n,名词,2766,0.0289,48.68829999999999
441,那个,r,代词,2765,0.0289,48.71719999999999
442,分,v,动词,2765,0.0289,48.74609999999999
443,文学,n,名词,2758,0.0289,48.77499999999999
444,后来,nt,时间名词,2756,0.0288,48.80379999999999
445,价格,n,名词,2751,0.0288,48.832599999999985
446,改变,v,动词,2746,0.0287,48.861299999999986
447,然后,c,连词,2745,0.0287,48.889999999999986
448,原因,n,名词,2744,0.0287,48.91869999999999
449,速度,n,名词,2743,0.0287,48.94739999999999
450,给,v,动词,2728,0.0285,48.97589999999999
451,不会,vu,能愿动词,2722,0.0285,49.00439999999999
452,并不,d,副词,2720,0.0285,49.03289999999999
453,以上,nd,方位名词,2720,0.0285,49.06139999999999
454,价值,n,名词,2710,0.0284,49.08979999999999
455,半,m,数词,2704,0.0283,49.11809999999999
456,部门,n,名词,2703,0.0283,49.14639999999999
457,地位,n,名词,2702,0.0283,49.174699999999994
458,实验,n,名词,2700,0.0283,49.202999999999996
459,字,n,名词,2694,0.0282,49.231199999999994
460,完成,v,动词,2692,0.0282,49.25939999999999
461,达到,v,动词,2683,0.0281,49.287499999999994
462,等,v,动词,2680,0.028,49.31549999999999
463,实践,v,动词,2679,0.028,49.34349999999999
464,一下,mq,数量,2676,0.028,49.37149999999999
465,程度,n,名词,2670,0.0279,49.39939999999999
466,等等,u,助词,2664,0.0279,49.427299999999995
467,低,a,形容词,2662,0.0279,49.4552
468,分子,n,名词,2657,0.0278,49.483
469,那样,r,代词,2649,0.0277,49.5384
470,原来,d,副词,2649,0.0277,49.5107
471,感到,v,动词,2645,0.0277,49.566100000000006
472,不过,c,连词,2634,0.0276,49.593700000000005
473,条,n,名词,2633,0.0276,49.648900000000005
474,八,m,数词,2633,0.0276,49.676500000000004
475,方式,n,名词,2633,0.0276,49.621300000000005
476,甚至,d,副词,2630,0.0275,49.70400000000001
477,资产阶级,n,名词,2627,0.0275,49.73150000000001
478,范围,n,名词,2625,0.0275,49.759000000000015
479,像,v,动词,2617,0.0274,49.786400000000015
480,指出,v,动词,2603,0.0272,49.813600000000015
481,音乐,n,名词,2603,0.0272,49.840800000000016
482,叫做,v,动词,2602,0.0272,49.868000000000016
483,随着,p,介词,2599,0.0272,49.89520000000002
484,上,v,动词,2595,0.0272,49.92240000000002
485,与,p,介词,2595,0.0272,49.94960000000002
486,部,n,名词,2593,0.0271,49.976700000000015
487,声音,n,名词,2590,0.0271,50.00380000000001
488,造成,v,动词,2589,0.0271,50.03090000000001
489,第,h,前接成分,2587,0.0271,50.05800000000001
490,然而,c,连词,2581,0.027,50.08500000000001
491,改革,v,动词,2580,0.027,50.11200000000001
492,看见,v,动词,2573,0.0269,50.13890000000001
493,时期,nt,时间名词,2569,0.0269,50.165800000000004
494,动物,n,名词,2569,0.0269,50.1927
495,正在,d,副词,2566,0.0269,50.2196
496,书,n,名词,2561,0.0268,50.2464
497,往往,d,副词,2543,0.0266,50.273
498,因而,c,连词,2542,0.0266,50.299600000000005
499,大量,a,形容词,2541,0.0266,50.32620000000001
500,这么,r,代词,2539,0.0266,50.35280000000001
501,植物,n,名词,2535,0.0265,50.37930000000001
502,老,h,前接成分,2527,0.0264,50.40570000000001
503,并且,c,连词,2524,0.0264,50.43210000000001
504,细胞,n,名词,2524,0.0264,50.458500000000015
505,敌人,n,名词,2515,0.0263,50.484800000000014
506,非常,d,副词,2507,0.0262,50.51100000000002
507,获得,v,动词,2501,0.0262,50.53720000000002
508,几个,mq,数量,2488,0.026,50.56320000000002
509,住,v,动词,2487,0.026,50.58920000000003
510,块,q,量词,2486,0.026,50.61520000000003
511,目前,nt,时间名词,2483,0.026,50.64120000000003
512,观察,v,动词,2482,0.026,50.66720000000004
513,完全,d,副词,2473,0.0259,50.69310000000004
514,中心,n,名词,2459,0.0257,50.71880000000004
515,继续,v,动词,2458,0.0257,50.74450000000004
516,利益,n,名词,2449,0.0256,50.770100000000035
517,心里,nl,处所名词,2444,0.0256,50.79570000000003
518,取得,v,动词,2439,0.0255,50.82120000000003
519,对象,n,名词,2436,0.0255,50.846700000000034
520,组成,v,动词,2422,0.0253,50.872000000000035
521,有人,r,代词,2415,0.0253,50.89730000000004
522,了解,v,动词,2413,0.0253,50.92260000000004
523,啊,e,叹词,2402,0.0251,50.94770000000004
524,自然,a,形容词,2400,0.0251,50.97280000000004
525,而是,vl,联系动词,2400,0.0251,50.997900000000044
526,容易,a,形容词,2397,0.0251,51.023000000000046
527,拿,v,动词,2395,0.0251,51.04810000000005
528,经营,v,动词,2391,0.025,51.073100000000046
529,时代,nt,时间名词,2391,0.025,51.098100000000045
530,阶级,n,名词,2389,0.025,51.12310000000004
531,处,n,名词,2387,0.025,51.14810000000004
532,元,q,量词,2384,0.0249,51.173000000000044
533,某,r,代词,2371,0.0248,51.19780000000004
534,加强,v,动词,2368,0.0248,51.22260000000004
535,严重,a,形容词,2367,0.0248,51.24740000000004
536,控制,v,动词,2366,0.0248,51.27220000000004
537,死,v,动词,2364,0.0247,51.29690000000004
538,过去,nt,时间名词,2361,0.0247,51.321600000000046
539,量,n,名词,2360,0.0247,51.34630000000005
540,本,r,代词,2351,0.0246,51.37090000000005
541,变成,v,动词,2348,0.0246,51.39550000000005
542,学,v,动词,2340,0.0245,51.42000000000005
