#现代汉语语料库汉字频率表,,,,
#语料规模:2000万字,,,,
#只列入出现次数大于5次的字,,,,
#下载自www.cncorpus.org语料库在线网站,,,,
,,,,
,,,,
id,汉字,出现次数,频率（%）,累积频率（%）
241,科,14238,0.0916,60.38919999999996
242,程,14209,0.0914,60.48059999999996
243,式,14197,0.0913,60.57189999999996
244,指,14152,0.091,60.66289999999996
245,世,14109,0.0907,60.753599999999956
246,必,14049,0.0904,60.84399999999996
247,放,14014,0.0901,60.93409999999996
248,打,13960,0.0898,61.023899999999955
249,接,13934,0.0896,61.11349999999995
250,总,13934,0.0896,61.20309999999995
251,做,13912,0.0895,61.29259999999995
252,东,13902,0.0894,61.38199999999995
253,区,13858,0.0891,61.47109999999995
254,农,13819,0.0889,61.55999999999995
255,强,13769,0.0886,61.64859999999995
256,造,13747,0.0884,61.73699999999995
257,类,13634,0.0877,61.82469999999995
258,受,13597,0.0874,61.91209999999995
259,场,13558,0.0872,61.999299999999955
260,五,13498,0.0868,62.08609999999995
261,直,13427,0.0864,62.17249999999995
262,月,13322,0.0857,62.25819999999995
263,流,13320,0.0857,62.343899999999955
264,决,13280,0.0854,62.429299999999955
265,干,13275,0.0854,62.514699999999955
266,则,13257,0.0853,62.59999999999995
267,更,13224,0.085,62.68499999999995
268,色,13202,0.0849,62.76989999999995
269,处,13127,0.0844,62.85429999999995
270,路,13102,0.0843,62.93859999999995
271,运,13094,0.0842,63.022799999999954
272,任,12999,0.0836,63.10639999999995
273,具,12988,0.0835,63.18989999999995
274,目,12980,0.0835,63.27339999999995
275,再,12904,0.083,63.35639999999995
276,治,12767,0.0821,63.43849999999995
277,神,12762,0.0821,63.520599999999945
278,求,12753,0.082,63.602599999999946
279,件,12745,0.082,63.684599999999946
280,管,12692,0.0816,63.76619999999995
281,组,12604,0.0811,63.84729999999995
282,根,12576,0.0809,63.92819999999995
283,阶,12535,0.0806,64.00879999999995
284,将,12534,0.0806,64.08939999999996
285,改,12531,0.0806,64.16999999999996
286,导,12525,0.0806,64.25059999999996
287,眼,12518,0.0805,64.33109999999996
288,规,12500,0.0804,64.41149999999996
289,识,12488,0.0803,64.49179999999996
290,革,12368,0.0795,64.57129999999995
291,计,12073,0.0776,64.64889999999995
292,白,12067,0.0776,64.72649999999996
293,马,12014,0.0773,64.80379999999995
294,金,11964,0.0769,64.88069999999995
295,界,11896,0.0765,64.95719999999994
296,取,11882,0.0764,65.03359999999995
297,市,11874,0.0764,65.10999999999996
298,设,11857,0.0763,65.26259999999996
299,语,11857,0.0763,65.18629999999996
300,完,11828,0.0761,65.33869999999996
301,究,11753,0.0756,65.41429999999995
302,党,11734,0.0755,65.48979999999996
303,女,11717,0.0754,65.56519999999996
304,传,11661,0.075,65.64019999999996
305,风,11590,0.0745,65.71469999999997
306,信,11572,0.0744,65.78909999999996
307,名,11541,0.0742,65.86329999999997
308,便,11508,0.074,65.93729999999996
309,保,11480,0.0738,66.01109999999997
310,育,11442,0.0736,66.08469999999997
311,队,11438,0.0736,66.15829999999997
312,带,11407,0.0734,66.23169999999998
313,叫,11323,0.0728,66.30449999999998
314,研,11262,0.0724,66.37689999999998
315,领,11150,0.0717,66.44859999999998
316,北,11061,0.0711,66.51969999999999
317,较,11043,0.071,66.59069999999998
318,张,11012,0.0708,66.66149999999999
319,即,10974,0.0706,66.73209999999999
320,至,10970,0.0706,66.80269999999999
321,许,10917,0.0702,66.87289999999999
322,步,10872,0.0699,66.94279999999999
323,往,10811,0.0695,67.0123
324,听,10786,0.0694,67.0817
